,URL,CarName,ModelName,Maker,Unnamed: 4
186,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/%83p%83i%83%81%81%5B%83%89/,ポルシェ パナメーラ,モデル名不明,ポルシェ(2935),
188,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/%83p%83i%83%81%81%5B%83%89%83X%83%7C%81%5B%83c%83c%81%5B%83%8A%83X%83%82/,ポルシェ パナメーラスポーツツーリスモ,モデル名不明,ポルシェ(2935),
189,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/%91%BC%28%83%7C%83%8B%83V%83F%29/,名前不明,モデル名不明,ポルシェ(2935),
190,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/356/,名前不明,モデル名不明,ポルシェ(2935),
191,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/550%83X%83p%83C%83%5F%81%5B/,名前不明,モデル名不明,ポルシェ(2935),
192,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/718%83%7B%83N%83X%83%5E%81%5B/,ポルシェ 718ボクスター,モデル名不明,ポルシェ(2935),1.0
194,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/718%83P%83C%83%7D%83%93/,ポルシェ 718ケイマン,モデル名不明,ポルシェ(2935),1.0
196,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/718%83P%83C%83%7D%83%93GT4/,ポルシェ 718ケイマンGT4,モデル名不明,ポルシェ(2935),1.0
197,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/718%83X%83p%83C%83%5F%81%5B/,ポルシェ 718スパイダー,モデル名不明,ポルシェ(2935),1.0
198,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/911/,名前不明,モデル名不明,ポルシェ(2935),
199,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/911%83%5E%81%5B%83%7B/,ポルシェ 911ターボ,モデル名不明,ポルシェ(2935),1.0
201,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/911%83%5E%81%5B%83%7B%83J%83u%83%8A%83I%83%8C/,ポルシェ 911ターボカブリオレ,モデル名不明,ポルシェ(2935),
202,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/911%83%5E%83%8B%83K/,ポルシェ 911タルガ,モデル名不明,ポルシェ(2935),1.0
203,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/911%83J%83%8C%83%89/,ポルシェ 911カレラ,モデル名不明,ポルシェ(2935),1.0
205,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/911%83J%83%8C%83%89%83J%83u%83%8A%83I%83%8C/,ポルシェ 911カレラカブリオレ,モデル名不明,ポルシェ(2935),1.0
206,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/911%83J%83%8C%83%89GTS/,ポルシェ 911カレラGTS,モデル名不明,ポルシェ(2935),1.0
207,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/911+%83%5F%83J%81%5B%83%8B/,ポルシェ 911 ダカール,モデル名不明,ポルシェ(2935),
208,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/911GT2/,ポルシェ 911GT2,モデル名不明,ポルシェ(2935),1.0
209,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/911GT3/,ポルシェ 911GT3,モデル名不明,ポルシェ(2935),1.0
211,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/914/,名前不明,モデル名不明,ポルシェ(2935),
212,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/928/,名前不明,モデル名不明,ポルシェ(2935),
213,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/944/,名前不明,モデル名不明,ポルシェ(2935),
214,https://kakaku.com/kuruma/used/maker/%83%7C%83%8B%83V%83F/968/,名前不明,モデル名不明,ポルシェ(2935),
