グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
C63 STATIONWAGON (6),264〜700万円,1136.0,6208cc,5,FR,7AT,7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31671/Generation=40960/UCGrade=21290/,"Cクラスステーションワゴン 2008年モデル
                                        (7)",Cクラスステーションワゴン,2008年モデル,C63 STATIONWAGON,AMG
C43 4MATIC (17),679〜997万円,1281.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=60865/,"Cクラスセダン 2022年モデル
                                        (37)",Cクラスセダン,2022年モデル,C43 4MATIC,AMG
C43 4MATIC (左ハンドル) (8),800〜938万円,1281.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=60866/,"Cクラスセダン 2022年モデル
                                        (37)",Cクラスセダン,2022年モデル,C43 4MATIC (左ハンドル),AMG
C63 S E PERFORMANCE (8),1007〜1308万円,1714.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=63934/,"Cクラスセダン 2022年モデル
                                        (37)",Cクラスセダン,2022年モデル,C63 S E PERFORMANCE,AMG
C63 S E PERFORMANCE (左ハンドル) (1),1188万円,1714.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=63935/,"Cクラスセダン 2022年モデル
                                        (37)",Cクラスセダン,2022年モデル,C63 S E PERFORMANCE (左ハンドル),AMG
C63 S E PERFORMANCE Edition Peak (1),1714万円,1824.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=67425/,"Cクラスセダン 2022年モデル
                                        (37)",Cクラスセダン,2022年モデル,C63 S E PERFORMANCE Edition Peak,AMG
C63 S E PERFORMANCE F1 Edition (1),1292万円,1835.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=64270/,"Cクラスセダン 2022年モデル
                                        (37)",Cクラスセダン,2022年モデル,C63 S E PERFORMANCE F1 Edition,AMG
C63 S E PERFORMANCE F1 Edition (左ハンドル) (1),1350万円,1835.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=42545/UCGrade=64271/,"Cクラスセダン 2022年モデル
                                        (37)",Cクラスセダン,2022年モデル,C63 S E PERFORMANCE F1 Edition (左ハンドル),AMG
C450 AMG 4MATIC (4),299〜378万円,880.0,2996cc,5,4WD,7AT,12km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=33096/,"Cクラスセダン 2015年モデル
                                        (83)",Cクラスセダン,2015年モデル,C450 AMG 4MATIC,AMG
C43 4MATIC (50),220〜709万円,995.0,2996cc,5,4WD,9AT,9km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=35527/,"Cクラスセダン 2015年モデル
                                        (83)",Cクラスセダン,2015年モデル,C43 4MATIC,AMG
C63 (3),463〜515万円,1279.0,3982cc,5,FR,9AT,8km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31021/Generation=41893/UCGrade=32221/,"Cクラスセダン 2015年モデル
                                        (83)",Cクラスセダン,2015年モデル,C63,AMG
