,グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
783,2.0STI Sport (53),208〜432万円,416.0,1998cc,5,4WD,CVT,12.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=46675/,"WRXS4 2014年モデル
                                        (327)",WRXS4,2014年モデル,2.0STI Sport,スバル
784,2.0STI Sport EyeSight (5),289〜406万円,416.0,1998cc,5,4WD,CVT,11.8km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=52275/,"WRXS4 2014年モデル
                                        (327)",WRXS4,2014年モデル,2.0STI Sport EyeSight,スバル
785,2.0STI Sport# (11),320〜477万円,474.0,1998cc,5,4WD,CVT,11.8km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=52276/,"WRXS4 2014年モデル
                                        (327)",WRXS4,2014年モデル,2.0STI Sport#,スバル
786,SporVita (5),149〜250万円,390.0,1998cc,5,4WD,CVT,12.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=33602/,"WRXS4 2014年モデル
                                        (327)",WRXS4,2014年モデル,SporVita,スバル
787,tS (4),226〜324万円,496.0,1998cc,5,4WD,CVT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=35949/,"WRXS4 2014年モデル
                                        (327)",WRXS4,2014年モデル,tS,スバル
788,tS NBR　CHALLEGE　PACKAGE (5),259〜390万円,529.0,1998cc,5,4WD,CVT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=33125/Generation=41812/UCGrade=35950/,"WRXS4 2014年モデル
                                        (327)",WRXS4,2014年モデル,tS NBR　CHALLEGE　PACKAGE,スバル
789,ベースグレード (71),215〜680万円,393.0,1994cc,5,4WD,6MT,9.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=29722/,"WRXSTI 2014年モデル
                                        (337)",WRXSTI,2014年モデル,ベースグレード,スバル
790,Type S (151),199〜1202万円,413.0,1994cc,5,4WD,6MT,9.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=29723/,"WRXSTI 2014年モデル
                                        (337)",WRXSTI,2014年モデル,Type S,スバル
791,EJ20 Final Edition (4),639〜819万円,452.0,1994cc,5,4WD,6MT,9.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=50051/,"WRXSTI 2014年モデル
                                        (337)",WRXSTI,2014年モデル,EJ20 Final Edition,スバル
792,EJ20 Final Edition FULL PACKAGE (9),630〜819万円,485.0,1994cc,5,4WD,6MT,9.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=50052/,"WRXSTI 2014年モデル
                                        (337)",WRXSTI,2014年モデル,EJ20 Final Edition FULL PACKAGE,スバル
793,S207 (1),565.8万円,599.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=33476/,"WRXSTI 2014年モデル
                                        (337)",WRXSTI,2014年モデル,S207,スバル
794,S207 NBR CHALLENGE PACKAGE (5),475〜679万円,631.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=33477/,"WRXSTI 2014年モデル
                                        (337)",WRXSTI,2014年モデル,S207 NBR CHALLENGE PACKAGE,スバル
795,S208 NBR CHALLENGE PACKAGE Carbon Rear Wing (5),775〜990万円,710.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41813/UCGrade=43705/,"WRXSTI 2014年モデル
                                        (337)",WRXSTI,2014年モデル,S208 NBR CHALLENGE PACKAGE Carbon Rear Wing,スバル
796,A-Line (47),74〜277万円,324.0,2457cc,5,4WD,5AT,9.0km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=24164/,"WRXSTI 2010年モデル
                                        (152)",WRXSTI,2010年モデル,A-Line,スバル
797,A-Line type S (8),93〜149万円,356.0,2457cc,5,4WD,5AT,9.0km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=24329/,"WRXSTI 2010年モデル
                                        (152)",WRXSTI,2010年モデル,A-Line type S,スバル
798,spec C 18インチタイヤ仕様 (14),199〜442万円,380.0,1994cc,5,4WD,6MT,9.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=25507/,"WRXSTI 2010年モデル
                                        (152)",WRXSTI,2010年モデル,spec C 18インチタイヤ仕様,スバル
799,ベースグレード (69),119〜425万円,384.0,1994cc,5,4WD,6MT,9.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=24165/,"WRXSTI 2010年モデル
                                        (152)",WRXSTI,2010年モデル,ベースグレード,スバル
800,tS TYPE RA (2),338〜438万円,453.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=27483/,"WRXSTI 2010年モデル
                                        (152)",WRXSTI,2010年モデル,tS TYPE RA,スバル
801,tS TYPE RA NBR CHALLENGE PACKAGE (1),333.1万円,496.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=27484/,"WRXSTI 2010年モデル
                                        (152)",WRXSTI,2010年モデル,tS TYPE RA NBR CHALLENGE PACKAGE,スバル
802,tS TYPE RA NBR CHALLENGE PACKAGE RECARO (1),543.6万円,522.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31675/Generation=41446/UCGrade=27485/,"WRXSTI 2010年モデル
                                        (152)",WRXSTI,2010年モデル,tS TYPE RA NBR CHALLENGE PACKAGE RECARO,スバル
803,A-Line 4WD (16),82〜169万円,315.0,2457cc,5,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22143/,"WRXSTI5door 2007年モデル
                                        (136)",WRXSTI5door,2007年モデル,A-Line 4WD,スバル
804,A-Line (10),99〜183万円,324.0,2457cc,5,4WD,5AT,9.0km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22148/,"WRXSTI5door 2007年モデル
                                        (136)",WRXSTI5door,2007年モデル,A-Line,スバル
805,A-Line Type S 4WD (7),87〜124万円,325.0,2457cc,5,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22146/,"WRXSTI5door 2007年モデル
                                        (136)",WRXSTI5door,2007年モデル,A-Line Type S 4WD,スバル
806,A-Line type S (1),165.9万円,351.0,2457cc,5,4WD,5AT,9.0km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=24330/,"WRXSTI5door 2007年モデル
                                        (136)",WRXSTI5door,2007年モデル,A-Line type S,スバル
807,spec C 17インチタイヤ仕様 (5),239〜342万円,342.0,1994cc,5,4WD,6MT,9.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=24328/,"WRXSTI5door 2007年モデル
                                        (136)",WRXSTI5door,2007年モデル,spec C 17インチタイヤ仕様,スバル
808,spec C 18インチタイヤ仕様 (MT) 4WD (10),182〜404万円,368.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22144/,"WRXSTI5door 2007年モデル
                                        (136)",WRXSTI5door,2007年モデル,spec C 18インチタイヤ仕様 (MT) 4WD,スバル
809,spec C 18インチタイヤ仕様 (7),193〜411万円,374.0,1994cc,5,4WD,6MT,9.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=24327/,"WRXSTI5door 2007年モデル
                                        (136)",WRXSTI5door,2007年モデル,spec C 18インチタイヤ仕様,スバル
810,ベースグレード (MT) 4WD (58),116〜279万円,365.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22140/,"WRXSTI5door 2007年モデル
                                        (136)",WRXSTI5door,2007年モデル,ベースグレード (MT) 4WD,スバル
811,ベースグレード (14),159〜405万円,379.0,1994cc,5,4WD,6MT,9.4km/L,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22147/,"WRXSTI5door 2007年モデル
                                        (136)",WRXSTI5door,2007年モデル,ベースグレード,スバル
812,4ドア (MT) 4WD (4),163〜377万円,373.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22151/,"WRXSTI5door 2007年モデル
                                        (136)",WRXSTI5door,2007年モデル,4ドア (MT) 4WD,スバル
813,20th アニバーサリー (MT) 4WD (2),198〜225万円,412.0,−,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22142/,"WRXSTI5door 2007年モデル
                                        (136)",WRXSTI5door,2007年モデル,20th アニバーサリー (MT) 4WD,スバル
814,tS (2),278〜296万円,472.0,1994cc,5,4WD,6MT,−,https://kakaku.com/kuruma/used/spec/Maker=6/Model=31823/Generation=41009/UCGrade=22149/,"WRXSTI5door 2007年モデル
                                        (136)",WRXSTI5door,2007年モデル,tS,スバル
815,ベースグレード (113),169〜320万円,250.0,658cc,2,FF,CVT,−,https://kakaku.com/kuruma/used/spec/Maker=8/Model=33377/Generation=42292/UCGrade=49985/,"コペンGRSPORT 2019年モデル
                                        (226)",コペンGRSPORT,2019年モデル,ベースグレード,ダイハツ
816,ベースグレード (MT) (69),175〜295万円,255.0,658cc,2,FF,5MT,−,https://kakaku.com/kuruma/used/spec/Maker=8/Model=33377/Generation=42292/UCGrade=49984/,"コペンGRSPORT 2019年モデル
                                        (226)",コペンGRSPORT,2019年モデル,ベースグレード (MT),ダイハツ
817,R/T (左ハンドル) (7),220〜776万円,598.0,5654cc,5,FR,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=20/Model=30894/Generation=40648/UCGrade=17766/,"チャージャー 2007年モデル
                                        (63)",チャージャー,2007年モデル,R/T (左ハンドル),ダッジ
818,SRT8 (左ハンドル) (3),354〜419万円,651.0,6059cc,5,FR,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=20/Model=30894/Generation=40648/UCGrade=17765/,"チャージャー 2007年モデル
                                        (63)",チャージャー,2007年モデル,SRT8 (左ハンドル),ダッジ
819,スタンダードレンジ プラス (34),190〜343万円,454.0,−,5,RWD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33212/Generation=41977/UCGrade=48947/,"モデル3 2019年モデル
                                        (223)",モデル3,2019年モデル,スタンダードレンジ プラス,テスラ
820,RWD (28),268〜520万円,531.0,−,5,RWD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33212/Generation=41977/UCGrade=58263/,"モデル3 2019年モデル
                                        (223)",モデル3,2019年モデル,RWD,テスラ
821,デュアルモーターAWD ロングレンジ (35),256〜458万円,621.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33212/Generation=41977/UCGrade=49245/,"モデル3 2019年モデル
                                        (223)",モデル3,2019年モデル,デュアルモーターAWD ロングレンジ,テスラ
822,デュアルモーターAWD パフォーマンス (1),260.0万円,725.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33212/Generation=41977/UCGrade=48946/,"モデル3 2019年モデル
                                        (223)",モデル3,2019年モデル,デュアルモーターAWD パフォーマンス,テスラ
823,60 (1),170.0万円,865.0,−,5,RWD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33100/Generation=41770/UCGrade=31505/,"モデルS 2014年モデル
                                        (42)",モデルS,2014年モデル,60,テスラ
824,75 (5),310〜358万円,900.0,−,5,RWD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33100/Generation=41770/UCGrade=35823/,"モデルS 2014年モデル
                                        (42)",モデルS,2014年モデル,75,テスラ
825,75D (1),370.0万円,1003.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33100/Generation=41770/UCGrade=35824/,"モデルS 2014年モデル
                                        (42)",モデルS,2014年モデル,75D,テスラ
826,P85D (1),247.7万円,1369.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33100/Generation=41770/UCGrade=31509/,"モデルS 2014年モデル
                                        (42)",モデルS,2014年モデル,P85D,テスラ
827,P100D (2),458〜999万円,1705.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33100/Generation=41770/UCGrade=35681/,"モデルS 2014年モデル
                                        (42)",モデルS,2014年モデル,P100D,テスラ
828,90D (1),405.3万円,1124.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33100/Generation=41770/UCGrade=35825/,"モデルS 2014年モデル
                                        (42)",モデルS,2014年モデル,90D,テスラ
829,100D (6),279〜573万円,1227.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33100/Generation=41770/UCGrade=36670/,"モデルS 2014年モデル
                                        (42)",モデルS,2014年モデル,100D,テスラ
830,75D (3),499〜581万円,1097.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33101/Generation=41771/UCGrade=35683/,"モデルX 2016年モデル
                                        (34)",モデルX,2016年モデル,75D,テスラ
831,ロングレンジ (2),659〜1120万円,1299.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33101/Generation=41771/UCGrade=48529/,"モデルX 2016年モデル
                                        (34)",モデルX,2016年モデル,ロングレンジ,テスラ
832,90D (1),438.0万円,1210.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33101/Generation=41771/UCGrade=35684/,"モデルX 2016年モデル
                                        (34)",モデルX,2016年モデル,90D,テスラ
833,パフォーマンス (1),610.0万円,1299.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33101/Generation=41771/UCGrade=48645/,"モデルX 2016年モデル
                                        (34)",モデルX,2016年モデル,パフォーマンス,テスラ
834,100D (6),437〜615万円,1278.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33101/Generation=41771/UCGrade=36674/,"モデルX 2016年モデル
                                        (34)",モデルX,2016年モデル,100D,テスラ
835,P100D (5),540〜712万円,1780.0,−,5,4WD,-,−,https://kakaku.com/kuruma/used/spec/Maker=68/Model=33101/Generation=41771/UCGrade=35685/,"モデルX 2016年モデル
                                        (34)",モデルX,2016年モデル,P100D,テスラ
836,GX (4),789〜1629万円,525.0,3444cc,5,4WD,10AT,−,https://kakaku.com/kuruma/used/spec/Maker=1/Model=30188/Generation=42458/UCGrade=56097/,"ランドクルーザー 2021年モデル
                                        (363)",ランドクルーザー,2021年モデル,GX,トヨタ
837,GR SPORT (46),854〜1299万円,783.0,3444cc,7,4WD,10AT,−,https://kakaku.com/kuruma/used/spec/Maker=1/Model=30188/Generation=42458/UCGrade=56096/,"ランドクルーザー 2021年モデル
                                        (363)",ランドクルーザー,2021年モデル,GR SPORT,トヨタ
838,GR SPORT (ディーゼル) (22),928〜1234万円,813.0,3345cc,5,4WD,10AT,−,https://kakaku.com/kuruma/used/spec/Maker=1/Model=30188/Generation=42458/UCGrade=56100/,"ランドクルーザー 2021年モデル
                                        (363)",ランドクルーザー,2021年モデル,GR SPORT (ディーゼル),トヨタ
