,グレード名 (掲載台数),支払総額,新車価格,排気量,定員,駆動,変速,燃費,Web Address,model,モデル名,年,グレード名,CarMaker
58,G63 Launch Edition (10),2856〜3357万円,3080.0,3982cc,5,4WD,9AT,7.3km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=65708/,"Gクラス 2018年モデル
                                        (292)",Gクラス,2018年モデル,G63 Launch Edition,AMG
59,G63 Launch Edition (左ハンドル) (7),3000〜3350万円,3080.0,3982cc,5,4WD,9AT,7.3km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=42189/UCGrade=65709/,"Gクラス 2018年モデル
                                        (292)",Gクラス,2018年モデル,G63 Launch Edition (左ハンドル),AMG
60,G55 Long 4WD (4),460〜739万円,1480.0,−,−,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=17275/,"Gクラス 1995年モデル
                                        (57)",Gクラス,1995年モデル,G55 Long 4WD,AMG
61,G55 Long (左ハンドル) (5),478〜800万円,1533.0,−,−,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=17276/,"Gクラス 1995年モデル
                                        (57)",Gクラス,1995年モデル,G55 Long (左ハンドル),AMG
62,G55 Long (2),718〜798万円,1780.0,5438cc,5,4WD,5AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=23686/,"Gクラス 1995年モデル
                                        (57)",Gクラス,1995年モデル,G55 Long,AMG
63,G63 (4),999〜1448万円,1971.0,5461cc,5,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=37410/,"Gクラス 1995年モデル
                                        (57)",Gクラス,1995年モデル,G63,AMG
64,G63 (左ハンドル) (25),728〜2314万円,1971.0,5461cc,5,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=25738/,"Gクラス 1995年モデル
                                        (57)",Gクラス,1995年モデル,G63 (左ハンドル),AMG
65,G63 50th Anniversary Edition (2),1063〜1118万円,2220.0,5461cc,5,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=37257/,"Gクラス 1995年モデル
                                        (57)",Gクラス,1995年モデル,G63 50th Anniversary Edition,AMG
66,G63 Exclusive Edition (5),1026〜1280万円,2300.0,5461cc,5,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=44017/,"Gクラス 1995年モデル
                                        (57)",Gクラス,1995年モデル,G63 Exclusive Edition,AMG
67,G65 (1),2013万円,3900.0,5977cc,5,4WD,7AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=31023/Generation=40532/UCGrade=25739/,"Gクラス 1995年モデル
                                        (57)",Gクラス,1995年モデル,G65,AMG
68,GLC 43 4MATIC (2),1076〜1114万円,1194.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33238/Generation=42642/UCGrade=64648/,"GLCクラス 2024年モデル
                                        (41)",GLCクラス,2024年モデル,GLC 43 4MATIC,AMG
69,GLC 63 S E PERFORMANCE (3),1315〜1574万円,1822.0,1991cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33238/Generation=42642/UCGrade=64649/,"GLCクラス 2024年モデル
                                        (41)",GLCクラス,2024年モデル,GLC 63 S E PERFORMANCE,AMG
70,GLC43 4MATIC (42),260〜807万円,1076.0,2996cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33238/Generation=42015/UCGrade=35902/,"GLCクラス 2016年モデル
                                        (70)",GLCクラス,2016年モデル,GLC43 4MATIC,AMG
71,GLC63 4MATIC+ (5),496〜646万円,1333.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33238/Generation=42015/UCGrade=44837/,"GLCクラス 2016年モデル
                                        (70)",GLCクラス,2016年モデル,GLC63 4MATIC+,AMG
72,GLC63 S 4MATIC+ Edition1 (1),531.1万円,1512.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33238/Generation=42015/UCGrade=44841/,"GLCクラス 2016年モデル
                                        (70)",GLCクラス,2016年モデル,GLC63 S 4MATIC+ Edition1,AMG
73,GLC63 S 4MATIC+ (16),519〜921万円,1526.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33238/Generation=42015/UCGrade=44838/,"GLCクラス 2016年モデル
                                        (70)",GLCクラス,2016年モデル,GLC63 S 4MATIC+,AMG
74,GLC43 4MATIC Coupe (27),329〜809万円,1169.0,2996cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33272/Generation=42072/UCGrade=36704/,"GLCクラスクーペ 2017年モデル
                                        (47)",GLCクラスクーペ,2017年モデル,GLC43 4MATIC Coupe,AMG
75,GLC63 4MATIC+ Coupe (2),459〜669万円,1559.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33272/Generation=42072/UCGrade=44839/,"GLCクラスクーペ 2017年モデル
                                        (47)",GLCクラスクーペ,2017年モデル,GLC63 4MATIC+ Coupe,AMG
76,GLC63 S 4MATIC+ Coupe (18),470〜1048万円,1559.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33272/Generation=42072/UCGrade=44840/,"GLCクラスクーペ 2017年モデル
                                        (47)",GLCクラスクーペ,2017年モデル,GLC63 S 4MATIC+ Coupe,AMG
77,GLE 53 4MATIC+ (左ハンドル) (4),891〜1008万円,1510.0,2996cc,7,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33190/Generation=42355/UCGrade=52081/,"GLEクラス 2020年モデル
                                        (42)",GLEクラス,2020年モデル,GLE 53 4MATIC+ (左ハンドル),AMG
78,GLE 53 4MATIC (21),690〜1388万円,1740.0,2996cc,7,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33190/Generation=42355/UCGrade=52080/,"GLEクラス 2020年モデル
                                        (42)",GLEクラス,2020年モデル,GLE 53 4MATIC,AMG
79,GLE 63 S 4MATIC+ (9),1195〜1720万円,2395.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33190/Generation=42355/UCGrade=53914/,"GLEクラス 2020年モデル
                                        (42)",GLEクラス,2020年モデル,GLE 63 S 4MATIC+,AMG
80,GLE 63 S 4MATIC+ (左ハンドル) (3),1058〜1285万円,2395.0,3982cc,5,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33190/Generation=42355/UCGrade=53915/,"GLEクラス 2020年モデル
                                        (42)",GLEクラス,2020年モデル,GLE 63 S 4MATIC+ (左ハンドル),AMG
81,GLE43 4MATIC (16),288〜441万円,1189.0,2996cc,5,4WD,9AT,9.4km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33190/Generation=41939/UCGrade=34730/,"GLEクラス 2015年モデル
                                        (20)",GLEクラス,2015年モデル,GLE43 4MATIC,AMG
82,GLE63 S 4MATIC (3),354〜420万円,1794.0,5461cc,5,4WD,7AT,7.4km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33190/Generation=41939/UCGrade=33473/,"GLEクラス 2015年モデル
                                        (20)",GLEクラス,2015年モデル,GLE63 S 4MATIC,AMG
83,GT 63 4MATIC+ Coupe (25),2145〜2892万円,2783.0,3982cc,2,4WD,9AT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=42646/UCGrade=64830/,"GT 2024年モデル
                                        (46)",GT,2024年モデル,GT 63 4MATIC+ Coupe,AMG
84,GT (4),767〜838万円,1767.0,3982cc,2,FR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=32158/,"GT 2015年モデル
                                        (58)",GT,2015年モデル,GT,AMG
85,GT (左ハンドル) (6),756〜1513万円,1767.0,3982cc,2,FR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=32159/,"GT 2015年モデル
                                        (58)",GT,2015年モデル,GT (左ハンドル),AMG
86,GT S (12),560〜1100万円,2030.0,3982cc,2,FR,7DCT,8.7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=32160/,"GT 2015年モデル
                                        (58)",GT,2015年モデル,GT S,AMG
87,GT S (左ハンドル) (6),800〜1437万円,2030.0,3982cc,2,FR,7DCT,8.7km/L,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=32161/,"GT 2015年モデル
                                        (58)",GT,2015年モデル,GT S (左ハンドル),AMG
88,GT C (1),1751万円,2243.0,3982cc,2,FR,7DCT,−,https://kakaku.com/kuruma/used/spec/Maker=26/Model=33159/Generation=41889/UCGrade=43659/,"GT 2015年モデル
                                        (58)",GT,2015年モデル,GT C,AMG
